,appTitle,userName,date,score,Category,date_ex,processed_text,wordcount,stopword,lemmatizer,stemmer,bigrams,bow,tag,future,present_simple,present_con,past
10,Snowball.io,,"March 8, 2019",5,GAME_ACTION,2019-03-08,it is a amazing game that i cant ,8.0,"['amazing', 'game', 'cant']","['it', 'is', 'a', 'amazing', 'game', 'that', 'i', 'cant']",it is a amaz game that i cant,"[('it', 'is'), ('is', 'a'), ('a', 'amazing'), ('amazing', 'game'), ('game', 'that'), ('that', 'i'), ('i', 'cant')]",it is a amazing game that i cant ,"['PRP', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'NN', 'VBP']",0,2,0,0
11,Battle Royale: FPS Shooter,A Google User,"March 11, 2019",5,GAME_ACTION,2019-04-14,this game is nice then any game,7.0,"['game', 'nice', 'game']","['this', 'game', 'is', 'nice', 'then', 'any', 'game']",thi game is nice then ani game,"[('this', 'game'), ('game', 'is'), ('is', 'nice'), ('nice', 'then'), ('then', 'any'), ('any', 'game')]",this game is nice then any game,"['DT', 'NN', 'VBZ', 'JJ', 'RB', 'DT', 'NN']",0,1,0,0
12,ABCmouse.com,Tara M.,"February 15, 2019",4,EDUCATION,2019-03-24,My daughter  4y  o  this so much and I can tell that she is learning a lot more  However  the on ,21.0,"['daughter', '4y', 'much', 'tell', 'learning', 'lot', 'however']","['my', 'daughter', '4y', 'o', 'this', 'so', 'much', 'and', 'i', 'can', 'tell', 'that', 'she', 'is', 'learning', 'a', 'lot', 'more', 'however', 'the', 'on']",my daughter 4y o thi so much and i can tell that she is learn a lot more howev the on,"[('my', 'daughter'), ('daughter', '4y'), ('4y', 'o'), ('o', 'this'), ('this', 'so'), ('so', 'much'), ('much', 'and'), ('and', 'i'), ('i', 'can'), ('can', 'tell'), ('tell', 'that'), ('that', 'she'), ('she', 'is'), ('is', 'learning'), ('learning', 'a'), ('a', 'lot'), ('lot', 'more'), ('more', 'however'), ('however', 'the'), ('the', 'on')]",My daughter  4y  o  this so much and I can tell that she is learning a lot more  However  the on ,"['PRP$', 'NN', 'CD', 'NN', 'DT', 'RB', 'JJ', 'CC', 'PRP', 'MD', 'VB', 'IN', 'PRP', 'VBZ', 'VBG', 'DT', 'NN', 'JJR', 'RB', 'DT', 'IN']",1,2,0,0
13,,xavier ragland,"April 29, 2019",3,MUSIC_AND_AUDIO,2019-05-01,i give this a 3 now cause i pay for premium i should be able to listen to anything but certain artist at least once a month,27.0,"['give', '3', 'cause', 'pay', 'premium', 'able', 'listen', 'anything', 'certain', 'artist', 'least', 'month']","['i', 'give', 'this', 'a', '3', 'now', 'cause', 'i', 'pay', 'for', 'premium', 'i', 'should', 'be', 'able', 'to', 'listen', 'to', 'anything', 'but', 'certain', 'artist', 'at', 'least', 'once', 'a', 'month']",i give thi a 3 now caus i pay for premium i should be abl to listen to anyth but certain artist at least onc a month,"[('i', 'give'), ('give', 'this'), ('this', 'a'), ('a', '3'), ('3', 'now'), ('now', 'cause'), ('cause', 'i'), ('i', 'pay'), ('pay', 'for'), ('for', 'premium'), ('premium', 'i'), ('i', 'should'), ('should', 'be'), ('be', 'able'), ('able', 'to'), ('to', 'listen'), ('listen', 'to'), ('to', 'anything'), ('anything', 'but'), ('but', 'certain'), ('certain', 'artist'), ('artist', 'at'), ('at', 'least'), ('least', 'once'), ('once', 'a'), ('a', 'month')]",i give this a 3 now cause i pay for premium i should be able to listen to anything but certain artist at least once a month,"['RB', 'VBP', 'DT', 'DT', 'CD', 'RB', 'VBP', 'JJ', 'NN', 'IN', 'NN', 'NN', 'MD', 'VB', 'JJ', 'TO', 'VB', 'TO', 'NN', 'CC', 'JJ', 'NN', 'IN', 'JJS', 'RB', 'DT', 'NN']",1,2,0,0
14,Tomb of the Mask,Sherena Ramirez,"April 1, 2019",5,GAME_ACTION,2019-04-21,the game is amazing it  s a total time killer,10.0,"['game', 'amazing', 'total', 'time', 'killer']","['the', 'game', 'is', 'amazing', 'it', 's', 'a', 'total', 'time', 'killer']",the game is amaz it s a total time killer,"[('the', 'game'), ('game', 'is'), ('is', 'amazing'), ('amazing', 'it'), ('it', 's'), ('s', 'a'), ('a', 'total'), ('total', 'time'), ('time', 'killer')]",the game is amazing it  s a total time killer,"['DT', 'NN', 'VBZ', 'VBG', 'PRP', 'VBD', 'DT', 'JJ', 'NN', 'NN']",0,2,0,1
15,Tubi - Free Movies & TV Shows,Josesito Drigo,"April 29, 2019",5,ENTERTAINMENT,2019-05-09,it  s great,3.0,['great'],"['it', 's', 'great']",it s great,"[('it', 's'), ('s', 'great')]",it  s great,"['PRP', 'VBZ', 'JJ']",0,1,0,0
16,Super Bino Go - New Games 2019,Sudharshitha P,"April 5, 2019",5,FAMILY,2019-04-14,i love this game much ,5.0,"['love', 'game', 'much']","['i', 'love', 'this', 'game', 'much']",i love thi game much,"[('i', 'love'), ('love', 'this'), ('this', 'game'), ('game', 'much')]",i love this game much ,"['RB', 'VBP', 'DT', 'NN', 'RB']",0,1,0,0
17,Love Poly - New puzzle game,Danielle Moore,"February 18, 2019",4,FAMILY,2019-04-07,It  s really fun and,5.0,"['really', 'fun']","['it', 's', 'really', 'fun', 'and']",it s realli fun and,"[('it', 's'), ('s', 'really'), ('really', 'fun'), ('fun', 'and')]",It  s really fun and,"['PRP', 'VBZ', 'RB', 'JJ', 'CC']",0,1,0,0
18,Duolingo: Learn Languages Free,ana briseño,"April 14, 2019",5,EDUCATION,2019-04-14,we love it,3.0,['love'],"['we', 'love', 'it']",we love it,"[('we', 'love'), ('love', 'it')]",we love it,"['PRP', 'VBP', 'PRP']",0,1,0,0
19,Sweatcoin Pays You To Get Fit,Tea Wee,"March 6, 2019",1,HEALTH_AND_FITNESS,2019-04-07,Terrible  Went running   t count a single step ,8.0,"['terrible', 'went', 'running', 'count', 'single', 'step']","['terrible', 'went', 'running', 't', 'count', 'a', 'single', 'step']",terribl went run t count a singl step,"[('terrible', 'went'), ('went', 'running'), ('running', 't'), ('t', 'count'), ('count', 'a'), ('a', 'single'), ('single', 'step')]",Terrible  Went running   t count a single step ,"['JJ', 'NNP', 'VBG', 'NN', 'NN', 'DT', 'JJ', 'NN']",0,1,0,0
20,Fresh EBT - Food Stamp Balance,,"March 3, 2019",5,FINANCE,2019-03-24,Excellent  Thanks so much ,4.0,"['excellent', 'thanks', 'much']","['excellent', 'thanks', 'so', 'much']",excel thank so much,"[('excellent', 'thanks'), ('thanks', 'so'), ('so', 'much')]",Excellent  Thanks so much ,"['JJ', 'NNP', 'RB', 'RB']",0,0,0,0
21,Helix Jump,Karma Wade,"April 6, 2019",5,GAME_ACTION,2019-04-07,It is a very game that I spend hour on ,10.0,"['game', 'spend', 'hour']","['it', 'is', 'a', 'very', 'game', 'that', 'i', 'spend', 'hour', 'on']",it is a veri game that i spend hour on,"[('it', 'is'), ('is', 'a'), ('a', 'very'), ('very', 'game'), ('game', 'that'), ('that', 'i'), ('i', 'spend'), ('spend', 'hour'), ('hour', 'on')]",It is a very game that I spend hour on ,"['PRP', 'VBZ', 'DT', 'RB', 'NN', 'IN', 'PRP', 'VBP', 'NN', 'IN']",0,2,0,0
22,Amazon Alexa,Mike Walsh,"December 21, 2018",1,MUSIC_AND_AUDIO,2019-03-09,Do not update  Keep your older version  wish I saw all the about the update first  but I didnt look  Like many I am getting all the time now from not  None of this was an issue before the update  The working error coming up about 20 times a day  so i just keep sending log to the dev for a fix  Uninstalled and the  but still no luck  Keep your old version  I am running Android 8  0 on V20 ,81.0,"['update', 'keep', 'older', 'version', 'wish', 'saw', 'update', 'first', 'didnt', 'look', 'like', 'many', 'getting', 'time', 'none', 'issue', 'update', 'working', 'error', 'coming', '20', 'times', 'day', 'keep', 'sending', 'log', 'dev', 'fix', 'uninstalled', 'still', 'luck', 'keep', 'old', 'version', 'running', 'android', '8', '0', 'v20']","['do', 'not', 'update', 'keep', 'your', 'older', 'version', 'wish', 'i', 'saw', 'all', 'the', 'about', 'the', 'update', 'first', 'but', 'i', 'didnt', 'look', 'like', 'many', 'i', 'am', 'getting', 'all', 'the', 'time', 'now', 'from', 'not', 'none', 'of', 'this', 'wa', 'an', 'issue', 'before', 'the', 'update', 'the', 'working', 'error', 'coming', 'up', 'about', '20', 'time', 'a', 'day', 'so', 'i', 'just', 'keep', 'sending', 'log', 'to', 'the', 'dev', 'for', 'a', 'fix', 'uninstalled', 'and', 'the', 'but', 'still', 'no', 'luck', 'keep', 'your', 'old', 'version', 'i', 'am', 'running', 'android', '8', '0', 'on', 'v20']",do not updat keep your older version wish i saw all the about the updat first but i didnt look like mani i am get all the time now from not none of thi wa an issu befor the updat the work error come up about 20 time a day so i just keep send log to the dev for a fix uninstal and the but still no luck keep your old version i am run android 8 0 on v20,"[('do', 'not'), ('not', 'update'), ('update', 'keep'), ('keep', 'your'), ('your', 'older'), ('older', 'version'), ('version', 'wish'), ('wish', 'i'), ('i', 'saw'), ('saw', 'all'), ('all', 'the'), ('the', 'about'), ('about', 'the'), ('the', 'update'), ('update', 'first'), ('first', 'but'), ('but', 'i'), ('i', 'didnt'), ('didnt', 'look'), ('look', 'like'), ('like', 'many'), ('many', 'i'), ('i', 'am'), ('am', 'getting'), ('getting', 'all'), ('all', 'the'), ('the', 'time'), ('time', 'now'), ('now', 'from'), ('from', 'not'), ('not', 'none'), ('none', 'of'), ('of', 'this'), ('this', 'was'), ('was', 'an'), ('an', 'issue'), ('issue', 'before'), ('before', 'the'), ('the', 'update'), ('update', 'the'), ('the', 'working'), ('working', 'error'), ('error', 'coming'), ('coming', 'up'), ('up', 'about'), ('about', '20'), ('20', 'times'), ('times', 'a'), ('a', 'day'), ('day', 'so'), ('so', 'i'), ('i', 'just'), ('just', 'keep'), ('keep', 'sending'), ('sending', 'log'), ('log', 'to'), ('to', 'the'), ('the', 'dev'), ('dev', 'for'), ('for', 'a'), ('a', 'fix'), ('fix', 'uninstalled'), ('uninstalled', 'and'), ('and', 'the'), ('the', 'but'), ('but', 'still'), ('still', 'no'), ('no', 'luck'), ('luck', 'keep'), ('keep', 'your'), ('your', 'old'), ('old', 'version'), ('version', 'i'), ('i', 'am'), ('am', 'running'), ('running', 'android'), ('android', '8'), ('8', '0'), ('0', 'on'), ('on', 'v20')]",Do not update  Keep your older version  wish I saw all the about the update first  but I didnt look  Like many I am getting all the time now from not  None of this was an issue before the update  The working error coming up about 20 times a day  so i just keep sending log to the dev for a fix  Uninstalled and the  but still no luck  Keep your old version  I am running Android 8  0 on V20 ,"['NNP', 'RB', 'VB', 'NNP', 'PRP$', 'JJR', 'NN', 'NN', 'PRP', 'VBD', 'PDT', 'DT', 'IN', 'DT', 'NN', 'RB', 'CC', 'PRP', 'VBP', 'VBP', 'IN', 'JJ', 'PRP', 'VBP', 'VBG', 'PDT', 'DT', 'NN', 'RB', 'IN', 'RB', 'NN', 'IN', 'DT', 'VBD', 'DT', 'NN', 'IN', 'DT', 'NN', 'DT', 'VBG', 'NN', 'VBG', 'RP', 'RB', 'CD', 'NNS', 'DT', 'NN', 'IN', 'JJ', 'RB', 'VB', 'VBG', 'NN', 'TO', 'DT', 'NN', 'IN', 'DT', 'NN', 'VBN', 'CC', 'DT', 'CC', 'RB', 'DT', 'JJ', 'VB', 'PRP$', 'JJ', 'NN', 'PRP', 'VBP', 'VBG', 'NNP', 'CD', 'CD', 'IN', 'NNS']",0,9,0,3
23,slither.io,Brandon Ryan,"February 10, 2019",5,GAME_ACTION,2019-03-08,other say  TOO MANY  there to have,7.0,"['say', 'many']","['other', 'say', 'too', 'many', 'there', 'to', 'have']",other say too mani there to have,"[('other', 'say'), ('say', 'too'), ('too', 'many'), ('many', 'there'), ('there', 'to'), ('to', 'have')]",other say  TOO MANY  there to have,"['JJ', 'VBP', 'NNP', 'NNP', 'RB', 'TO', 'VB']",0,1,0,0
24,Quizlet: Learn Languages & Vocab with Flashcards,Kriss Wheeler,"January 27, 2019",5,EDUCATION,2019-04-14,Love this  helping me study and succeed,7.0,"['love', 'helping', 'study', 'succeed']","['love', 'this', 'helping', 'me', 'study', 'and', 'succeed']",love thi help me studi and succeed,"[('love', 'this'), ('this', 'helping'), ('helping', 'me'), ('me', 'study'), ('study', 'and'), ('and', 'succeed')]",Love this  helping me study and succeed,"['VB', 'DT', 'VBG', 'PRP', 'NN', 'CC', 'VB']",0,1,0,0
25,Free Music Player – Online & Offline MP3 Player,Riley Inglis,"December 18, 2018",1,MUSIC_AND_AUDIO,2019-04-21,the that it is  but it  it and it all of the time ,13.0,['time'],"['the', 'that', 'it', 'is', 'but', 'it', 'it', 'and', 'it', 'all', 'of', 'the', 'time']",the that it is but it it and it all of the time,"[('the', 'that'), ('that', 'it'), ('it', 'is'), ('is', 'but'), ('but', 'it'), ('it', 'it'), ('it', 'and'), ('and', 'it'), ('it', 'all'), ('all', 'of'), ('of', 'the'), ('the', 'time')]",the that it is  but it  it and it all of the time ,"['DT', 'IN', 'PRP', 'VBZ', 'CC', 'PRP', 'PRP', 'CC', 'PRP', 'DT', 'IN', 'DT', 'NN']",0,1,0,0
26,,Rashard Wilkinson,"February 25, 2019",1,LIFESTYLE,2019-05-01,money to see result total con,6.0,"['money', 'see', 'result', 'total', 'con']","['money', 'to', 'see', 'result', 'total', 'con']",money to see result total con,"[('money', 'to'), ('to', 'see'), ('see', 'result'), ('result', 'total'), ('total', 'con')]",money to see result total con,"['NN', 'TO', 'VB', 'JJ', 'JJ', 'NN']",0,0,0,0
27,Tomb of the Mask,A Google User,"March 25, 2019",5,GAME_ACTION,2019-04-07,heart pleasing  yeah it is good job,7.0,"['heart', 'pleasing', 'yeah', 'good', 'job']","['heart', 'pleasing', 'yeah', 'it', 'is', 'good', 'job']",heart pleas yeah it is good job,"[('heart', 'pleasing'), ('pleasing', 'yeah'), ('yeah', 'it'), ('it', 'is'), ('is', 'good'), ('good', 'job')]",heart pleasing  yeah it is good job,"['NN', 'VBG', 'NN', 'PRP', 'VBZ', 'JJ', 'NN']",0,2,0,0
28,Amazon Music,Peter Murray,"April 10, 2019",5,MUSIC_AND_AUDIO,2019-04-14, and this is far easier and ,6.0,"['far', 'easier']","['and', 'this', 'is', 'far', 'easier', 'and']",and thi is far easier and,"[('and', 'this'), ('this', 'is'), ('is', 'far'), ('far', 'easier'), ('easier', 'and')]", and this is far easier and ,"['CC', 'DT', 'VBZ', 'RB', 'JJR', 'CC']",0,1,0,0
29,Snowball.io,Carlo B.,"April 5, 2019",5,GAME_ACTION,2019-04-14,I and won,3.0,[],"['i', 'and', 'won']",i and won,"[('i', 'and'), ('and', 'won')]",I and won,"['PRP', 'CC', 'VBD']",0,0,0,1
30,TurboTax Tax Return App – Max Refund Guaranteed,Steve Hamilton,"April 8, 2018",1,FINANCE,2019-03-08,I got a 1099 this year and me to pay 119 to file it  Do not use this if you  re self  employed ,23.0,"['got', '1099', 'year', 'pay', '119', 'file', 'use', 'self', 'employed']","['i', 'got', 'a', '1099', 'this', 'year', 'and', 'me', 'to', 'pay', '119', 'to', 'file', 'it', 'do', 'not', 'use', 'this', 'if', 'you', 're', 'self', 'employed']",i got a 1099 thi year and me to pay 119 to file it do not use thi if you re self employ,"[('i', 'got'), ('got', 'a'), ('a', '1099'), ('1099', 'this'), ('this', 'year'), ('year', 'and'), ('and', 'me'), ('me', 'to'), ('to', 'pay'), ('pay', '119'), ('119', 'to'), ('to', 'file'), ('file', 'it'), ('it', 'do'), ('do', 'not'), ('not', 'use'), ('use', 'this'), ('this', 'if'), ('if', 'you'), ('you', 're'), ('re', 'self'), ('self', 'employed')]",I got a 1099 this year and me to pay 119 to file it  Do not use this if you  re self  employed ,"['PRP', 'VBD', 'DT', 'CD', 'DT', 'NN', 'CC', 'PRP', 'TO', 'VB', 'CD', 'TO', 'VB', 'PRP', 'NNP', 'RB', 'VB', 'DT', 'IN', 'PRP', 'VBP', 'PRP', 'VBD']",0,1,0,2
31,Kahoot!,Jorgefango 5479 games and more,"January 22, 2018",1,EDUCATION,2019-05-09,I HATE HIS GAME,4.0,"['hate', 'game']","['i', 'hate', 'his', 'game']",i hate hi game,"[('i', 'hate'), ('hate', 'his'), ('his', 'game')]",I HATE HIS GAME,"['PRP', 'VBP', 'JJ', 'NNP']",0,1,0,0
32,SmartThings,john buchanan,"March 22, 2019",5,LIFESTYLE,2019-03-24,really great update,3.0,"['really', 'great', 'update']","['really', 'great', 'update']",realli great updat,"[('really', 'great'), ('great', 'update')]",really great update,"['RB', 'JJ', 'NN']",0,0,0,0
33,Battle Royale: FPS Shooter,A Google User,"March 9, 2019",5,GAME_ACTION,2019-04-01,it is good,3.0,['good'],"['it', 'is', 'good']",it is good,"[('it', 'is'), ('is', 'good')]",it is good,"['PRP', 'VBZ', 'JJ']",0,1,0,0
34,,Brandon Owens,"March 19, 2019",5,FINANCE,2019-05-01,Very simple and easy to use  Only thing i can see that could be is making sure the user to swipe right for the next page ,26.0,"['simple', 'easy', 'use', 'thing', 'see', 'could', 'making', 'sure', 'user', 'swipe', 'right', 'next', 'page']","['very', 'simple', 'and', 'easy', 'to', 'use', 'only', 'thing', 'i', 'can', 'see', 'that', 'could', 'be', 'is', 'making', 'sure', 'the', 'user', 'to', 'swipe', 'right', 'for', 'the', 'next', 'page']",veri simpl and easi to use onli thing i can see that could be is make sure the user to swipe right for the next page,"[('very', 'simple'), ('simple', 'and'), ('and', 'easy'), ('easy', 'to'), ('to', 'use'), ('use', 'only'), ('only', 'thing'), ('thing', 'i'), ('i', 'can'), ('can', 'see'), ('see', 'that'), ('that', 'could'), ('could', 'be'), ('be', 'is'), ('is', 'making'), ('making', 'sure'), ('sure', 'the'), ('the', 'user'), ('user', 'to'), ('to', 'swipe'), ('swipe', 'right'), ('right', 'for'), ('for', 'the'), ('the', 'next'), ('next', 'page')]",Very simple and easy to use  Only thing i can see that could be is making sure the user to swipe right for the next page ,"['RB', 'JJ', 'CC', 'JJ', 'TO', 'VB', 'JJ', 'NN', 'NN', 'MD', 'VB', 'DT', 'MD', 'VB', 'VBZ', 'VBG', 'JJ', 'DT', 'NN', 'TO', 'VB', 'RB', 'IN', 'DT', 'JJ', 'NN']",2,2,0,0
35,"iHeartRadio - Free Music, Radio & Podcasts",S Vacca,"March 14, 2019",5,MUSIC_AND_AUDIO,2019-03-24,Works well with the Android to 9  0 Pie ,9.0,"['works', 'well', 'android', '9', '0', 'pie']","['work', 'well', 'with', 'the', 'android', 'to', '9', '0', 'pie']",work well with the android to 9 0 pie,"[('works', 'well'), ('well', 'with'), ('with', 'the'), ('the', 'android'), ('android', 'to'), ('to', '9'), ('9', '0'), ('0', 'pie')]",Works well with the Android to 9  0 Pie ,"['NNS', 'RB', 'IN', 'DT', 'NNP', 'TO', 'CD', 'CD', 'NN']",0,0,0,0
